1,Муьлха махкахь ю Java г1айре?,1,Малайзи,false
1,Муьлха махкахь ю Java г1айре?,2,Индонези,true
1,Муьлха махкахь ю Java г1айре?,3,Инди,false
2,Муьлха программировани матто болх бо JVM чохь?,4,Java,true
2,Муьлха программировани матто болх бо JVM чохь?,5,JavaScript,false
2,Муьлха программировани матто болх бо JVM чохь?,6,Python,false
3,Уггаре г1араялла йолу Java фреймворк муьлха ю?,7,Winter,false
3,Уггаре г1араялла йолу Java фреймворк муьлха ю?,8,Summer,false
3,Уггаре г1араялла йолу Java фреймворк муьлха ю?,9,Spring,true
4,Java суьйртехь йиллин х1ун ю?,10,Чайнан кружка,false
4,Java суьйртехь йиллин х1ун ю?,11,Шуран стака,false
4,Java суьйртехь йиллин х1ун ю?,12,Къахьон кружка,true
5,Муьлха дош ду Java маттахь д1адиллин доцуш?,13,Final,false
5,Муьлха дош ду Java маттахь д1адиллин доцуш?,14,Finish,true
5,Муьлха дош ду Java маттахь д1адиллин доцуш?,15,Finally,false
